drug_kegg_id,target_ko_number
D01002,K04130
D01996,K02470
D07431,K04219
D00095,K04137
D08523,K04584
D08115,K04137
D08365,K04136
D02436,K00796
D11516,K05466
D07459,K04149
D03864,K04269
D12606,K14592
D02123,K02469
D00978,K05771
D13024,K05031
D00741,K04842
D02182,K04836
D01163,K04135
D02123,K02470
D00218,K18246
D02349,K04138
D00999,K04129
D00740,K04837
D04970,K04130
D12257,K14592
D02220,K04836
D00079,K04259
D00095,K04139
D01008,K04139
D02220,K04843
D02182,K04843
D08027,K04280
D08259,K22599
D09820,K04227
D10683,K14592
D04221,K05771
D08366,K04137
D00524,K04132
D02418,K01049
D00740,K04836
D06028,K06568
D08249,K04214
D00193,K04131
D01216,K00796
D06087,K08557
D07816,K00509
D07496,K04141
D10685,K05031
D00930,K08539
D01024,K04137
D03297,K05087
D03820,K12344
D03592,K04578
D07819,K11987
D06543,K08527
D01011,K08362
D08132,K04146
D03594,K05771
D08248,K04215
D03008,K04229
D00113,K04131
D08127,K04843
D04302,K04280
D00385,K05771
D02193,K01049
D00378,K04141
D04488,K04145
D11031,K04514
D05110,K02470
D02475,K02621
D01009,K08539
D10014,K05036
D08362,K04136
D00732,K04838
D07406,K04149
D08319,K04838
D10566,K04221
D03820,K12343
D01024,K04135
D00955,K08557
D00110,K05035
D01025,K04135
D00757,K04135
D02301,K02470
D07726,K08551
D05319,K11987
D02200,K04131
D10822,K02470
D03592,K04579
D02086,K04842
D01475,K11987
D01025,K04141
D08422,K04841
D00996,K04137
D01340,K04214
D02495,K18964
D02439,K00796
D02086,K04833
D01025,K04137
D00128,K19302
D00294,K05004
D05019,K00497
D08105,K04149
D03917,K08556
D01023,K04136
D11882,K04218
D11212,K05195
D00196,K01049
D01002,K04133
D05697,K05448
D00962,K08550
D01023,K04135
D07759,K04132
D00330,K00509
D01340,K04215
D06078,K04585
D00870,K00796
D00095,K04140
D02182,K04840
D07624,K04143
D00518,K18245
D06028,K06499
D00358,K04838
D01976,K04133
D10529,K01049
D02118,K04583
D02108,K04218
D01717,K04149
D09535,K04143
D00653,K18246
D00732,K04842
D02289,K05771
D07223,K08556
D00401,K00431
D07439,K18438
D07439,K18437
D00996,K04135
D00222,K18964
D00141,K00509
D10463,K04514
D02220,K04842
D11042,K05031
D07496,K04143
D10230,K04149
D01996,K02469
D01368,K08557
D02081,K04143
D01619,K05771
D02764,K18964
D00950,K08556
D01196,K01672
D08115,K04142
D08319,K04837
D01413,K08550
D03211,K00706
D00218,K01672
D02108,K04219
D00975,K05771
D00407,K05771
D07775,K04136
D00999,K04131
D12488,K16533
D02434,K00796
D01023,K04137
D07717,K05771
D01782,K04149
D11212,K05175
D02220,K04838
D10966,K04259
D07919,K08551
D08872,K02622
D08249,K04213
D00551,K04833
D07540,K04138
D00667,K01049
D00740,K04833
D00977,K05771
D00904,K11987
D01976,K04129
D08319,K04843
D08509,K04584
D00732,K04833
D08059,K11987
D02007,K04282
D02070,K04129
D02577,K04153
D00281,K04139
D11010,K00706
D07826,K08550
D01022,K04135
D00741,K04843
D02591,K05771
D02105,K04200
D08115,K04135
D04970,K04129
D02760,K04149
D08250,K08557
D07890,K04149
D02516,K00796
D10853,K04131
D07226,K04130
D07439,K18283
D00732,K04836
D00743,K04135
D02220,K04841
D08324,K11987
D02349,K04140
D01163,K04136
D02071,K04129
D01196,K18246
D07759,K04130
D03696,K05771
D08362,K04135
D02475,K02470
D07228,K04229
D02021,K04588
D08448,K04833
D08422,K04836
D08422,K04840
D03730,K03164
D08319,K04833
D04219,K05771
D08132,K04147
D08322,K04135
D02200,K04130
D07900,K04149
D08664,K18964
D08872,K02469
D00110,K04905
D02220,K04834
D11212,K05181
D00110,K04837
D08365,K04135
D00740,K04834
D02349,K04137
D00952,K08556
D02501,K00706
D00281,K04138
D10463,K17388
D08057,K04144
D01002,K04132
D02307,K02469
D00113,K04129
D00987,K04145
D01024,K04136
D02086,K04840
D00378,K04142
D02349,K04135
D06606,K00509
D08248,K04214
D01266,K05771
D10392,K05718
D08132,K04145
D02307,K02622
D06546,K04585
D02071,K04133
D00599,K04142
D03504,K04612
D02123,K02622
D08895,K04247
D00330,K11987
D08207,K04136
D00118,K11987
D00732,K04837
D02290,K11987
D02592,K05771
D07702,K02469
D01217,K08556
D00118,K00509
D05319,K00509
D08422,K04843
D00655,K18246
D07540,K04139
D05394,K05080
D00218,K18245
D00732,K04841
D00599,K04141
D00894,K22599
D08448,K04842
D11130,K02091
D08261,K01049
D01413,K08551
D00946,K08550
